City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code,Date
134,athabasca,38.4953,102.1739,60.57,24,0,9.28,CN,1615439572
135,athabasca,63.7506,-68.5145,-16.6,69,75,8.05,CA,1615439435
136,athabasca,33.1592,129.7228,66.0,51,75,5.75,JP,1615439572
137,athabasca,66.4167,112.4,-5.55,84,15,16.58,RU,1615439050
138,athabasca,25.5198,90.2201,87.91,33,0,5.28,IN,1615439159
139,athabasca,58.8053,-122.7002,17.6,53,40,2.3,CA,1615439573
140,athabasca,62.456,-114.3525,-13.0,77,20,4.61,CA,1615438908
141,athabasca,17.9716,-66.908,72.0,71,3,1.01,PR,1615439574
142,athabasca,-13.3947,-44.1886,70.79,88,100,1.5,BR,1615439574
143,athabasca,-35.3333,-72.4167,59.81,90,80,6.26,CL,1615439362
144,athabasca,-37.8333,140.7667,80.6,34,0,8.05,AU,1615439575
145,athabasca,-25.2406,130.9889,91.4,38,15,14.97,AU,1615439037
146,athabasca,12.0769,15.0306,75.2,15,53,6.91,CM,1615439575
147,athabasca,68.0531,39.5131,0.77,85,49,14.97,RU,1615439576
148,athabasca,50.1001,-91.917,21.2,68,90,5.75,CA,1615439460
149,athabasca,-23.5333,148.1667,88.0,51,90,5.75,AU,1615439109
150,athabasca,-9.3727,30.125,62.2,93,74,2.86,ZM,1615439577
151,athabasca,-43.3002,-65.1023,57.38,35,19,22.77,AR,1615439452
152,athabasca,61.0064,36.4481,-1.37,93,98,3.71,RU,1615439577
153,athabasca,-33.5906,26.891,66.0,94,61,1.99,ZA,1615439578
154,athabasca,7.3833,8.5667,76.98,83,95,6.33,NG,1615439578
155,athabasca,32.3502,-85.1999,55.4,81,1,4.16,US,1615439154
156,athabasca,-46.2817,169.8464,59.0,64,54,3.0,NZ,1615439560
157,athabasca,46.2045,47.8535,17.6,67,0,6.71,RU,1615439579
158,athabasca,-2.0226,147.2712,85.06,62,100,8.05,PG,1615438882
159,athabasca,-18.9181,-54.8442,71.56,85,34,3.31,BR,1615439580
160,athabasca,37.7667,21.3333,53.6,62,40,9.22,GR,1615439580
161,athabasca,60.1247,64.7758,-7.17,91,100,9.31,RU,1615439581
162,athabasca,22.3384,90.7419,83.12,61,3,7.36,BD,1615439581
163,athabasca,53.6246,55.9502,-9.72,88,99,8.86,RU,1615439581
164,athabasca,46.065,11.238,37.0,93,90,9.22,IT,1615439582
165,athabasca,20.7,-105.2,71.6,88,1,2.91,MX,1615439441
166,athabasca,-13.8483,136.4192,77.0,100,75,9.22,AU,1615439582
167,athabasca,5.0089,-74.4723,53.6,87,75,3.44,CO,1615439583
168,athabasca,-34.7333,135.8667,71.4,63,89,8.32,AU,1615439075
169,athabasca,-5.9,-76.0833,70.92,95,34,0.38,PE,1615439461
170,athabasca,4.8699,-2.2405,79.84,86,80,7.61,GH,1615439584
171,athabasca,60.9167,-46.05,23.0,80,90,1.14,GL,1615439038
172,athabasca,52.6235,20.3755,28.0,68,0,6.91,PL,1615439584
173,athabasca,-22.092,-70.1979,66.87,68,13,1.03,CL,1615439585
174,athabasca,59.6765,29.8531,6.01,71,20,11.18,RU,1615439585
175,athabasca,-0.8833,131.25,86.22,63,11,7.0,ID,1615439330
176,athabasca,69.3143,16.1194,24.8,68,29,16.11,NO,1615439586
177,athabasca,18.8003,110.3967,79.3,73,31,8.05,CN,1615439510
178,athabasca,-37.8811,147.981,73.0,64,73,5.99,AU,1615439586
179,athabasca,35.5392,106.6861,57.6,36,0,8.7,CN,1615439587
180,athabasca,56.8428,62.7111,1.99,92,100,16.08,RU,1615439587
181,athabasca,-20.7377,116.8463,100.49,30,0,8.12,AU,1615439031
182,athabasca,64.8378,-147.7164,19.4,86,90,11.5,US,1615439130
183,athabasca,52.2834,-112.1518,12.2,92,31,6.91,CA,1615439588
184,athabasca,50.2001,-66.3821,33.8,86,90,5.75,CA,1615439589
185,athabasca,62.3096,6.9358,44.6,53,75,20.71,NO,1615439589
186,athabasca,40.5833,-5.0,42.01,77,100,5.01,ES,1615439589
187,athabasca,15.5667,108.4833,84.2,61,20,8.05,VN,1615439590
188,athabasca,-10.0681,-78.1522,73.53,72,91,7.45,PE,1615439474
